Count_cell_all,Count_cell_final,FileName_PM,FileName_TOTAL,FileName_nucleus,FileName_nucleus_cell_final_outline,FileName_score_bw,ImageNumber,ImageQuality_PowerLogLogSlope_nucleus,Intensity_MedianIntensity_PM_bgCorr_bgMask,Intensity_MedianIntensity_TOTAL_bgCorr_bgMask,Mean_cell_final_Intensity_IntegratedIntensity_PM_bgCorr_intraimage,Mean_cell_final_Intensity_IntegratedIntensity_TOTAL_bgCorr_intraimage,Mean_cell_final_Math_cytoplasmAbundance,Mean_cell_final_Math_ratio,Mean_nucleus_final_AreaShape_Area,Mean_nucleus_final_AreaShape_Center_X,Mean_nucleus_final_AreaShape_Center_Y,Mean_nucleus_final_AreaShape_Compactness,Mean_nucleus_final_AreaShape_Eccentricity,Mean_nucleus_final_AreaShape_EulerNumber,Mean_nucleus_final_AreaShape_Extent,Mean_nucleus_final_AreaShape_FormFactor,Mean_nucleus_final_AreaShape_MajorAxisLength,Mean_nucleus_final_AreaShape_MaxFeretDiameter,Mean_nucleus_final_AreaShape_MaximumRadius,Mean_nucleus_final_AreaShape_MeanRadius,Mean_nucleus_final_AreaShape_MedianRadius,Mean_nucleus_final_AreaShape_MinFeretDiameter,Mean_nucleus_final_AreaShape_MinorAxisLength,Mean_nucleus_final_AreaShape_Orientation,Mean_nucleus_final_AreaShape_Perimeter,Mean_nucleus_final_AreaShape_Solidity,Median_cell_final_Intensity_IntegratedIntensity_PM_bgCorr_intraimage,Median_cell_final_Intensity_IntegratedIntensity_TOTAL_bgCorr_intraimage,Median_cell_final_Math_cytoplasmAbundance,Median_cell_final_Math_ratio,Metadata_Channel,Metadata_FileLocation,Metadata_gene,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_plateRepl,Metadata_posNum,Metadata_posPath,Metadata_siRNA,Metadata_wellNum,Metadata_wellPath,PathName_PM,PathName_TOTAL,PathName_nucleus,PathName_nucleus_cell_final_outline,Treatment
123,55,myplate_01--MAPK14--423--W011--P01--PM.tif,myplate_01--MAPK14--423--W011--P01--TOTAL.tif,myplate_01--MAPK14--423--W011--P01--DNA.tif,myplate_01--MAPK14--423--W011--P01--outlines.tif,myplate_01--MAPK14--423--W011--P01--score.tif,11,-1.71921299837,0.000448538921773,0.000229732133448,15.7353666994,21.4432597343,1,0.942265733613,1420.96363636,566.745454545,567.054545455,1.03216495056,0.536413158724,1,0.756808974987,0.863272111181,46.3951430162,46.3711867565,18.5281669261,6.94411209515,6.18471786795,37.6523409967,38.2607397738,4.33137819767,142.372690909,0.959757043875,14.494804611,16.9893343118,1,0.935762902947,NA,NA,MAPK14,myplate_01--MAPK14--423--W011--P01,C:\tutorial,myplate,myplate_01,1,1,P01--MAPK14--423,423,11,W011--MAPK14--423,C:\tutorial\myplate_01\W011--MAPK14--423\P01--MAPK14--423,C:\tutorial\myplate_01\W011--MAPK14--423\P01--MAPK14--423,C:\tutorial\myplate_01\W011--MAPK14--423\P01--MAPK14--423,C:\tutorial\myplate_01--cellprofiler\W011--MAPK14--423\P01--MAPK14--423,MAPK14_423
136,53,myplate_01--POLA1--992--W012--P01--PM.tif,myplate_01--POLA1--992--W012--P01--TOTAL.tif,myplate_01--POLA1--992--W012--P01--DNA.tif,myplate_01--POLA1--992--W012--P01--outlines.tif,myplate_01--POLA1--992--W012--P01--score.tif,12,-1.75629960734,0.000418020877987,0.000260250177234,12.6565194308,22.4971442495,1,0.810731568598,1242.47169811,633.79245283,542.849056604,1.03208752771,0.532227665791,1,0.750816993998,0.866887842517,43.553334564,43.4577471787,17.4819525668,6.57278691653,5.83317508857,35.1063453354,35.9190783411,-2.46221528119,133.084679245,0.960176935798,11.0959644117,16.4980851663,1,0.797395284765,NA,NA,POLA1,myplate_01--POLA1--992--W012--P01,C:\tutorial,myplate,myplate_01,1,1,P01--POLA1--992,992,12,W012--POLA1--992,C:\tutorial\myplate_01\W012--POLA1--992\P01--POLA1--992,C:\tutorial\myplate_01\W012--POLA1--992\P01--POLA1--992,C:\tutorial\myplate_01\W012--POLA1--992\P01--POLA1--992,C:\tutorial\myplate_01--cellprofiler\W012--POLA1--992\P01--POLA1--992,POLA1_992
75,31,myplate_01--CDK1--614--W013--P01--PM.tif,myplate_01--CDK1--614--W013--P01--TOTAL.tif,myplate_01--CDK1--614--W013--P01--DNA.tif,myplate_01--CDK1--614--W013--P01--outlines.tif,myplate_01--CDK1--614--W013--P01--score.tif,13,-1.75756515305,0.000555352075025,0.000275509199128,14.7026800101,28.7677829236,1,0.824903569501,1423.96774194,625.903225806,444.419354839,1.03501120123,0.520944519389,1,0.75046815721,0.843053020007,46.4967491829,46.9653701364,18.6648205116,6.94048484902,6.16515596167,37.9450560285,38.5584595234,1.89671938417,145.27483871,0.953853526584,13.3280994704,22.2792857764,1,0.716748983212,NA,NA,CDK1,myplate_01--CDK1--614--W013--P01,C:\tutorial,myplate,myplate_01,1,1,P01--CDK1--614,614,13,W013--CDK1--614,C:\tutorial\myplate_01\W013--CDK1--614\P01--CDK1--614,C:\tutorial\myplate_01\W013--CDK1--614\P01--CDK1--614,C:\tutorial\myplate_01\W013--CDK1--614\P01--CDK1--614,C:\tutorial\myplate_01--cellprofiler\W013--CDK1--614\P01--CDK1--614,CDK1_614
111,41,myplate_01--NFKB2--720--W014--P01--PM.tif,myplate_01--NFKB2--720--W014--P01--TOTAL.tif,myplate_01--NFKB2--720--W014--P01--DNA.tif,myplate_01--NFKB2--720--W014--P01--outlines.tif,myplate_01--NFKB2--720--W014--P01--score.tif,14,-1.84613933441,0.000463797943667,0.000290768221021,14.6610553953,24.9684605208,1,0.87200684643,1232.41463415,607.170731707,490.609756098,1.04190579264,0.581212211995,1,0.744832078483,0.853459317299,44.389678451,44.4479421268,17.2072571422,6.52100946008,5.78776101435,34.5417797777,35.1271376874,5.06491729869,133.84804878,0.957264819375,13.3752958667,18.4614024535,1,0.764229470388,NA,NA,NFKB2,myplate_01--NFKB2--720--W014--P01,C:\tutorial,myplate,myplate_01,1,1,P01--NFKB2--720,720,14,W014--NFKB2--720,C:\tutorial\myplate_01\W014--NFKB2--720\P01--NFKB2--720,C:\tutorial\myplate_01\W014--NFKB2--720\P01--NFKB2--720,C:\tutorial\myplate_01\W014--NFKB2--720\P01--NFKB2--720,C:\tutorial\myplate_01--cellprofiler\W014--NFKB2--720\P01--NFKB2--720,NFKB2_720
110,47,myplate_01--IL2RG--928--W015--P01--PM.tif,myplate_01--IL2RG--928--W015--P01--TOTAL.tif,myplate_01--IL2RG--928--W015--P01--DNA.tif,myplate_01--IL2RG--928--W015--P01--outlines.tif,myplate_01--IL2RG--928--W015--P01--score.tif,15,-1.82631093463,0.000463797943667,0.000260250177234,15.6750503343,20.6978234536,1,0.962783895466,1504.72340426,799.106382979,458.191489362,1.040300101,0.583462728284,1,0.752065974996,0.864063077225,48.8485249527,48.8027692647,19.0974189971,7.16808987822,6.37403317432,38.1742613174,38.7122846447,-8.1853522948,146.791276596,0.962095862874,13.0513160182,15.7057604957,1,1.07500080941,NA,NA,IL2RG,myplate_01--IL2RG--928--W015--P01,C:\tutorial,myplate,myplate_01,1,1,P01--IL2RG--928,928,15,W015--IL2RG--928,C:\tutorial\myplate_01\W015--IL2RG--928\P01--IL2RG--928,C:\tutorial\myplate_01\W015--IL2RG--928\P01--IL2RG--928,C:\tutorial\myplate_01\W015--IL2RG--928\P01--IL2RG--928,C:\tutorial\myplate_01--cellprofiler\W015--IL2RG--928\P01--IL2RG--928,IL2RG_928
104,48,myplate_01--IL6--244--W016--P01--PM.tif,myplate_01--IL6--244--W016--P01--TOTAL.tif,myplate_01--IL6--244--W016--P01--DNA.tif,myplate_01--IL6--244--W016--P01--outlines.tif,myplate_01--IL6--244--W016--P01--score.tif,16,-1.78994048776,0.000540093053132,0.000244991155341,18.2249998529,19.8020054387,1,1.18317870899,1340.64583333,569.9375,521.458333333,1.04475194402,0.597247980431,1,0.749146193048,0.858285085801,46.4581060426,46.3239927798,17.7706278109,6.75124811384,6.01878874944,35.68720794,36.3489813097,-2.2718908989,139.232083333,0.959775712786,16.4631955107,13.9412452952,1,1.16499238466,NA,NA,IL6,myplate_01--IL6--244--W016--P01,C:\tutorial,myplate,myplate_01,1,1,P01--IL6--244,244,16,W016--IL6--244,C:\tutorial\myplate_01\W016--IL6--244\P01--IL6--244,C:\tutorial\myplate_01\W016--IL6--244\P01--IL6--244,C:\tutorial\myplate_01\W016--IL6--244\P01--IL6--244,C:\tutorial\myplate_01--cellprofiler\W016--IL6--244\P01--IL6--244,IL6_244
81,48,myplate_01--PON1--343--W017--P01--PM.tif,myplate_01--PON1--343--W017--P01--TOTAL.tif,myplate_01--PON1--343--W017--P01--DNA.tif,myplate_01--PON1--343--W017--P01--outlines.tif,myplate_01--PON1--343--W017--P01--score.tif,17,-1.77365095801,0.000799496425316,0.000229732133448,14.314976844,23.1145953072,1,0.903612647673,1454.1875,569.958333333,503.104166667,1.03835332055,0.552706446238,1,0.757384021546,0.86240064062,47.5458897191,47.527057943,18.9112758497,7.07672033911,6.27019016407,38.2193717837,38.7123310846,-7.42047656372,144.439083333,0.96040518366,13.5370716284,17.5648055901,1,0.883065711289,NA,NA,PON1,myplate_01--PON1--343--W017--P01,C:\tutorial,myplate,myplate_01,1,1,P01--PON1--343,343,17,W017--PON1--343,C:\tutorial\myplate_01\W017--PON1--343\P01--PON1--343,C:\tutorial\myplate_01\W017--PON1--343\P01--PON1--343,C:\tutorial\myplate_01\W017--PON1--343\P01--PON1--343,C:\tutorial\myplate_01--cellprofiler\W017--PON1--343\P01--PON1--343,PON1_343
134,58,myplate_01--ECI2--153--W018--P01--PM.tif,myplate_01--ECI2--153--W018--P01--TOTAL.tif,myplate_01--ECI2--153--W018--P01--DNA.tif,myplate_01--ECI2--153--W018--P01--outlines.tif,myplate_01--ECI2--153--W018--P01--score.tif,18,-1.84083182068,0.000692683272064,0.000199214089662,12.3608995719,16.7053952732,1,0.91406575361,1328.01724138,543.517241379,372.310344828,1.03070424819,0.521258645841,1,0.7532367628,0.866522307924,44.9860051979,44.9439415926,18.0549289161,6.77063887419,6.0111404744,36.4946837509,37.1482923197,2.44191406007,137.915103448,0.95858302892,12.0617989951,14.0210347881,1,0.967055989669,NA,NA,ECI2,myplate_01--ECI2--153--W018--P01,C:\tutorial,myplate,myplate_01,1,1,P01--ECI2--153,153,18,W018--ECI2--153,C:\tutorial\myplate_01\W018--ECI2--153\P01--ECI2--153,C:\tutorial\myplate_01\W018--ECI2--153\P01--ECI2--153,C:\tutorial\myplate_01\W018--ECI2--153\P01--ECI2--153,C:\tutorial\myplate_01--cellprofiler\W018--ECI2--153\P01--ECI2--153,ECI2_153
117,46,myplate_01--NR3C1--211--W019--P01--PM.tif,myplate_01--NR3C1--211--W019--P01--TOTAL.tif,myplate_01--NR3C1--211--W019--P01--DNA.tif,myplate_01--NR3C1--211--W019--P01--outlines.tif,myplate_01--NR3C1--211--W019--P01--score.tif,19,-1.71953675023,0.000387502834201,0.000260250177234,16.2372631882,18.3290154734,1,1.10084086954,1327.80434783,600.152173913,486.586956522,1.0342712525,0.538301994403,1,0.761875525546,0.866494570594,45.2044337949,45.087591312,18.1315460884,6.78725022748,6.0371977073,36.4097932474,37.1514191751,-8.84138152838,137.846478261,0.960685737918,15.8019149655,13.2558023091,1,1.21272299336,NA,NA,NR3C1,myplate_01--NR3C1--211--W019--P01,C:\tutorial,myplate,myplate_01,1,1,P01--NR3C1--211,211,19,W019--NR3C1--211,C:\tutorial\myplate_01\W019--NR3C1--211\P01--NR3C1--211,C:\tutorial\myplate_01\W019--NR3C1--211\P01--NR3C1--211,C:\tutorial\myplate_01\W019--NR3C1--211\P01--NR3C1--211,C:\tutorial\myplate_01--cellprofiler\W019--NR3C1--211\P01--NR3C1--211,NR3C1_211
160,58,myplate_01--INCENP--404--W020--P01--PM.tif,myplate_01--INCENP--404--W020--P01--TOTAL.tif,myplate_01--INCENP--404--W020--P01--DNA.tif,myplate_01--INCENP--404--W020--P01--outlines.tif,myplate_01--INCENP--404--W020--P01--score.tif,20,-1.75981477746,0.000601129140705,0.000229732133448,13.1399899472,20.2974007916,1,0.834410254943,1364.77586207,847.396551724,522.448275862,1.03475688378,0.538031627531,1,0.751535921451,0.864733529802,45.8674142211,45.7149462843,18.2499215076,6.83423386204,6.08118924576,36.7039772724,37.3552258548,-6.39822340043,139.512724138,0.959499589222,12.5011747524,14.8258720855,1,0.828680532293,NA,NA,INCENP,myplate_01--INCENP--404--W020--P01,C:\tutorial,myplate,myplate_01,1,1,P01--INCENP--404,404,20,W020--INCENP--404,C:\tutorial\myplate_01\W020--INCENP--404\P01--INCENP--404,C:\tutorial\myplate_01\W020--INCENP--404\P01--INCENP--404,C:\tutorial\myplate_01\W020--INCENP--404\P01--INCENP--404,C:\tutorial\myplate_01--cellprofiler\W020--INCENP--404\P01--INCENP--404,INCENP_404
152,55,myplate_01--NUDT1--103--W021--P01--PM.tif,myplate_01--NUDT1--103--W021--P01--TOTAL.tif,myplate_01--NUDT1--103--W021--P01--DNA.tif,myplate_01--NUDT1--103--W021--P01--outlines.tif,myplate_01--NUDT1--103--W021--P01--score.tif,21,-1.79856257142,0.000356984790415,0.000260250177234,16.0039676658,20.7466620791,1,0.941238678914,1462.85454545,696.745454545,477.309090909,1.03018113114,0.534282285227,1,0.756084837881,0.86308860557,47.0908819965,47.1837585468,18.9704580848,7.07632784983,6.28408521285,38.3310187784,39.0224344349,-9.04563806799,144.729018182,0.958686063259,12.6330962311,14.7269858154,1,0.935327178392,NA,NA,NUDT1,myplate_01--NUDT1--103--W021--P01,C:\tutorial,myplate,myplate_01,1,1,P01--NUDT1--103,103,21,W021--NUDT1--103,C:\tutorial\myplate_01\W021--NUDT1--103\P01--NUDT1--103,C:\tutorial\myplate_01\W021--NUDT1--103\P01--NUDT1--103,C:\tutorial\myplate_01\W021--NUDT1--103\P01--NUDT1--103,C:\tutorial\myplate_01--cellprofiler\W021--NUDT1--103\P01--NUDT1--103,NUDT1_103
